"","x"
"1",515804.372468788
"2",929575.855203686
"3",296873.493894259
"4",575509.663827188
"5",416381.823060644
"6",620866.649956453
"7",901380.521756058
"8",366376.095383907
"9",259669.651953136
"10",822391.087949034
"11",281751.567452217
"12",270896.812283804
"13",318162.130531709
"14",398127.196847129
"15",543614.5305849
"16",777293.765336312
"17",829517.436070119
"18",294713.074008918
"19",631528.646405129
"20",440105.568865043
"21",761880.021374712
"22",180378.900030038
"23",313462.343846177
"24",362732.272099049
"25",688371.551096305
"26",366085.582782502
"27",1052289.90995471
"28",282579.220370399
"29",274509.279551501
"30",379298.804504473
"31",123687.669137101
"32",575833.711954342
"33",712945.109122475
"34",250903.94205667
"35",360032.182134477
"36",429459.074783633
"37",190990.15518057
"38",1109532.56949323
"39",1660577.43781352
"40",304649.512683652
"41",540124.232843753
"42",1067068.40885371
"43",231734.471205539
"44",423240.060512974
"45",282841.235066435
"46",1215647.07559165
"47",975519.345852052
"48",801939.739090572
"49",394508.205083883
"50",789516.705852032
"51",366986.182572179
"52",489754.470213264
"53",1229607.69798313
"54",1246922.0914736
"55",537026.96507048
"56",513334.716332805
"57",105516.624743447
"58",384355.591397152
"59",689845.505614444
"60",472912.419431671
"61",655783.666681906
"62",822112.552388284
"63",534997.932784427
"64",688201.926229057
"65",526498.982953035
"66",190343.305934462
"67",137339.775217524
"68",650846.07556884
"69",600516.821833188
"70",367260.777350735
"71",809311.620491326
"72",954296.562646436
"73",430806.170736593
"74",657100.102217694
"75",547050.611548554
"76",657869.952704818
"77",477512.277513222
"78",563133.386722847
"79",436762.407810413
"80",1002409.48067611
"81",605586.317200904
"82",428872.658746333
"83",247377.854124919
"84",430275.22601638
"85",800331.998321569
"86",777378.911634552
"87",653880.396555981
"88",383193.017057551
"89",742327.286836911
"90",1234069.72762718
"91",794627.392475293
"92",155789.306070755
"93",65684.7485948575
"94",450882.118978111
"95",121020.999188152
"96",558564.941889127
"97",285804.882175364
"98",594861.902718749
"99",475125.805176878
"100",290731.197287999
"101",1368321.36725416
"102",356142.615053484
"103",401054.407624996
"104",603970.1052512
"105",572237.033088052
"106",773291.034475287
"107",241443.2313263
"108",383241.80640895
"109",1352954.88408415
"110",177047.273233667
"111",1797660.34991262
"112",13407.628529863
"113",324461.458634954
"114",405232.128963596
"115",2304538.1091773
"116",436042.120551237
"117",1512582.42361785
"118",155682.570902786
"119",434737.184110946
"120",437334.488923758
"121",355726.147626871
"122",213826.504660782
"123",314554.607116797
"124",920149.139742692
"125",194857.230844941
"126",373947.254663971
"127",907375.61734773
"128",876369.096290288
"129",431810.594623822
"130",912850.347698359
"131",466485.436521701
"132",688206.013369369
"133",274580.236998719
"134",334247.560083126
"135",990539.133171782
"136",570531.008890687
"137",1054231.54991983
"138",79753.6534628679
"139",491337.263449431
"140",300554.03839097
"141",474489.295662289
"142",764547.061320858
"143",393112.490154513
"144",489288.342364219
"145",780055.503545824
"146",678262.71553427
"147",184655.961720925
"148",361850.380341654
"149",679346.499996561
"150",275356.574559853
"151",261051.823265063
"152",287415.116715097
"153",250411.471446605
"154",1209549.38856501
"155",600883.087523246
"156",325528.817555195
"157",445946.599841114
"158",503144.422344189
"159",549365.323305858
"160",815409.767801991
"161",1344208.61347148
"162",680021.753715161
"163",425950.34095536
"164",631964.678505063
"165",266253.664572018
"166",507230.142578181
"167",287980.650430728
"168",403182.104359854
"169",266003.001664053
"170",241563.649799322
"171",500515.972558769
"172",841289.839064169
"173",355360.569657221
"174",387947.867170056
"175",166261.991522461
"176",335366.422011089
"177",342977.443148652
"178",315807.483060518
"179",678715.487714221
"180",108489.304321157
"181",457345.685567806
"182",185031.382146777
"183",971295.410972905
"184",635940.176462429
"185",724732.970336363
"186",908794.996604673
"187",387107.317065235
"188",654130.324486221
"189",210454.444309735
"190",387465.137601622
"191",176036.620199296
"192",655468.788801226
"193",116832.837569865
"194",441695.531220434
"195",313754.537759505
"196",358244.273044708
"197",255224.909637032
"198",163996.828912928
"199",514777.147317544
"200",160399.370641436
"201",396845.397954905
"202",231769.746762005
"203",168579.789948136
"204",313461.282185795
"205",525992.000945295
"206",313690.545470985
"207",335359.790916622
"208",195809.467342233
"209",549069.930946714
"210",272401.271341616
"211",185009.769562601
"212",502353.260186211
"213",424541.384082853
"214",526202.944702144
"215",626241.862652555
"216",146655.913169578
"217",549085.343972319
"218",283515.059510853
"219",320586.973403352
"220",482994.66697913
"221",379223.755113158
"222",889952.225834153
"223",318058.323289531
"224",120560.90978679
"225",340416.407190879
"226",115945.448972042
"227",877018.811230854
"228",596754.610283964
"229",529262.552251668
"230",764578.161437385
"231",360524.166121784
"232",337570.350008095
"233",409719.606462127
"234",408120.758898989
"235",-105994.246074729
"236",450224.702218062
"237",433901.744382692
"238",691157.890232279
"239",515284.319543161
"240",795419.009283983
"241",364117.257216917
"242",587925.242259685
"243",457398.810613178
"244",400568.600821891
"245",603918.657826455
"246",484928.234302747
"247",290552.350098202
"248",262785.163971044
"249",347849.190632946
