,x
1,239496.1219
2,611674.6295
3,300893.9352
4,793801.1629
5,433329.0526
6,1074305.664
7,465089.3311
8,360726.9056
9,236926.4126
10,527628.6744
11,635609.9969
12,263160.2034
13,388709.998
14,696252.5153
15,401101.8595
16,353695.2449
17,334039.5004
18,216825.222
19,472520.259
20,1203428.913
21,551840.3088
22,275062.5272
23,506825.4917
24,551659.2858
25,390408.2195
26,458942.6927
27,530124.2654
28,231348.5204
29,525572.5308
30,660824.0737
31,738633.3046
32,207018.9899
33,676397.074
34,158678.0596
35,529820.2264
36,567689.9853
37,333015.0089
38,228125.2332
39,512862.2
40,218787.9733
41,587778.5946
42,468693.5082
43,947165.7792
44,237813.8653
45,652056.9889
46,469760.2734
47,371705.7276
48,688854.7535
49,539866.6315
50,529248.6252
51,1363364.877
52,706790.151
53,971798.7548
54,415021.3014
55,284116.8553
56,508484.2806
57,827199.7072
58,564173.345
59,521152.2303
60,204550.9413
61,565787.7462
62,829300.0254
63,477253.4062
64,515482.4026
65,994188.098
66,452147.2678
67,290547.0798
68,233421.1113
69,539851.5366
70,521398.0945
71,251330.6733
72,358725.4768
73,239620.6186
74,463474.5409
75,604785.7277
76,709302.9509
77,503402.8421
78,291971.4788
79,624137.8811
80,228328.2889
81,417221.1295
82,426629.3052
83,699219.0065
84,332591.6641
85,389024.6882
86,800310.9719
87,790283.1423
88,593536.5715
89,513811.3461
90,685890.9522
91,241116.0344
92,603663.1761
93,280063.6055
94,352795.8372
95,574180.9503
96,575333.5731
97,614154.0054
98,378982.7267
99,664469.176
100,1117145.864
101,767488.4166
102,256423.6105
103,543315.1628
104,350066.4902
105,893261.6167
106,427659.2249
107,247273.3064
108,562101.947
109,879420.002
110,805411.1771
111,522763.2342
112,1038623.382
113,535108.691
114,369068.6529
115,518075.2426
116,825532.7189
117,477823.7176
118,803581.9282
119,444199.7626
120,414180.4512
121,552349.764
122,151705.818
123,308198.7703
124,237338.9249
125,589062.9746
126,560029.9673
127,494089.6623
128,524214.1857
129,263311.9938
130,413570.5477
131,273031.6985
132,1126695.078
133,249154.1397
